match_id,date,league,season,competition,round,referee,team_id,team,opp_id,opp,is_home,gf,ga,poss,poss_ag,shots,shots_ag,sot,sot_ag,shots_off,shots_off_ag,shots_blocked,shots_blocked_ag,woodwork,woodwork_ag,shots_box,shots_box_ag,shots_obox,shots_obox_ag,corners,corners_ag,bigchance,bigchance_ag,bigchance_missed,bigchance_missed_ag,touches_box,touches_box_ag,fouls,fouls_ag,yellow,yellow_ag,red,red_ag,offsides,offsides_ag,tackles,tackles_ag,interceptions,interceptions_ag,blocks,blocks_ag,clearances,clearances_ag,saves,saves_ag,duels_won,duels_won_ag,ground_duels_won,ground_duels_won_ag,aerials_won,aerials_won_ag,dribbles,dribbles_ag,passes,passes_ag,passes_acc,passes_acc_ag,passes_own_half,passes_own_half_ag,passes_opp_half,passes_opp_half_ag,long_balls_acc,long_balls_acc_ag,crosses_acc,crosses_acc_ag,xg,xg_ag,xg_op,xg_op_ag,xg_sp,xg_sp_ag,xg_np,xg_np_ag,xgot,xgot_ag,z_sixyard,z_sixyard_ag,z_box_c,z_box_c_ag,z_box_w,z_box_w_ag,z_out_c,z_out_c_ag,z_out_w,z_out_w_ag,z_sixyard_xg,z_sixyard_xg_ag,z_box_c_xg,z_box_c_xg_ag,z_box_w_xg,z_box_w_xg_ag,z_out_c_xg,z_out_c_xg_ag,z_out_w_xg,z_out_w_xg_ag,s_open,s_open_ag,s_fastbreak,s_fastbreak_ag,s_corner,s_corner_ag,s_freekick,s_freekick_ag,s_penalty,s_penalty_ag,s_open_xg,s_open_xg_ag,s_fastbreak_xg,s_fastbreak_xg_ag,s_corner_xg,s_corner_xg_ag,s_freekick_xg,s_freekick_xg_ag,s_penalty_xg,s_penalty_xg_ag,shotmap_n,shotmap_n_ag,shot_dist_avg,shot_dist_avg_ag
3625829,2021-08-06,fra,2021/2022,Ligue 1,1,Antony Gautier,9829,Monaco,9830,Nantes,1,1,1,75,25,15,5,3,1,9,3,3,1,0,0,10,3,5,2,5,2,3,0,2,0,,,6,14,0,0,0,0,1,0,20,19,11,14,1,4,5,26,0,1,60,49,45.0,35.0,15.0,14.0,11.0,10.0,737,243,650.0,149.0,290,77,360,72,25.0,17.0,5.0,3.0,1.61,0.22,0.87,0.02,0.73,0.2,1.61,0.22,0.84,0.5,0,0,8,3,2,0,4,2,1,0,0.0,0.0,0.8598,0.1875,0.4948,0.0,0.2172,0.0325,0.0465,0.0,5,1,0,0,8,2,2,2,0,0,0.8717,0.0161,0.0,0.0,0.5624,0.1158,0.1843,0.0881,0.0,0.0,15,5,14.57,19.51
3625829,2021-08-06,fra,2021/2022,Ligue 1,1,Antony Gautier,9830,Nantes,9829,Monaco,0,1,1,25,75,5,15,1,3,3,9,1,3,0,0,3,10,2,5,2,5,0,3,0,2,,,14,6,0,0,0,0,0,1,19,20,14,11,4,1,26,5,1,0,49,60,35.0,45.0,14.0,15.0,10.0,11.0,243,737,149.0,650.0,77,290,72,360,17.0,25.0,3.0,5.0,0.22,1.61,0.02,0.87,0.2,0.73,0.22,1.61,0.5,0.84,0,0,3,8,0,2,2,4,0,1,0.0,0.0,0.1875,0.8598,0.0,0.4948,0.0325,0.2172,0.0,0.0465,1,5,0,0,2,8,2,2,0,0,0.0161,0.8717,0.0,0.0,0.1158,0.5624,0.0881,0.1843,0.0,0.0,5,15,19.51,14.57
3625827,2021-08-07,fra,2021/2022,Ligue 1,1,Mikael Lesage,9748,Lyon,8521,Brest,1,1,1,69,31,17,13,4,8,9,4,4,1,0,0,13,9,4,4,9,4,1,2,1,2,,,10,12,1,1,0,0,1,1,16,16,7,15,2,3,11,24,6,3,48,45,32.0,27.0,16.0,18.0,4.0,2.0,681,298,604.0,225.0,340,133,264,92,19.0,32.0,6.0,6.0,1.39,0.85,1.18,0.56,0.22,0.29,1.39,0.85,0.27,0.78,1,0,9,6,3,3,2,3,2,1,0.1247,0.0,1.0831,0.6196,0.1043,0.0864,0.0367,0.1276,0.0444,0.0165,11,7,0,2,4,3,2,1,0,0,1.176,0.3926,0.0,0.1685,0.1631,0.2731,0.0541,0.0159,0.0,0.0,17,13,16.3,17.01
3625827,2021-08-07,fra,2021/2022,Ligue 1,1,Mikael Lesage,8521,Brest,9748,Lyon,0,1,1,31,69,13,17,8,4,4,9,1,4,0,0,9,13,4,4,4,9,2,1,2,1,,,12,10,1,1,0,0,1,1,16,16,15,7,3,2,24,11,3,6,45,48,27.0,32.0,18.0,16.0,2.0,4.0,298,681,225.0,604.0,133,340,92,264,32.0,19.0,6.0,6.0,0.85,1.39,0.56,1.18,0.29,0.22,0.85,1.39,0.78,0.27,0,1,6,9,3,3,3,2,1,2,0.0,0.1247,0.6196,1.0831,0.0864,0.1043,0.1276,0.0367,0.0165,0.0444,7,11,2,0,3,4,1,2,0,0,0.3926,1.176,0.1685,0.0,0.2731,0.1631,0.0159,0.0541,0.0,0.0,13,17,17.01,16.3
3625835,2021-08-07,fra,2021/2022,Ligue 1,1,Amaury Delerue,10242,Troyes,9847,Paris Saint-Germain,1,1,2,43,57,15,12,7,3,4,6,4,3,0,0,8,8,7,4,9,1,0,2,0,1,23,35,3,15,1,4,0,0,1,1,17,10,8,14,4,4,14,18,0,6,37,33,35.0,23.0,2.0,10.0,4.0,10.0,443,605,379.0,560.0,246,165,133,395,31.0,28.0,5.0,5.0,0.86,1.23,0.51,1.23,0.34,0.0,0.86,1.23,1.11,0.85,0,1,6,4,2,3,2,3,5,1,0.0,0.2506,0.6656,0.6617,0.0458,0.1442,0.0636,0.1278,0.0827,0.0439,7,12,0,0,6,0,2,0,0,0,0.5141,1.2281,0.0,0.0,0.2053,0.0,0.1384,0.0,0.0,0.0,15,12,19.38,15.82
3625835,2021-08-07,fra,2021/2022,Ligue 1,1,Amaury Delerue,9847,Paris Saint-Germain,10242,Troyes,0,2,1,57,43,12,15,3,7,6,4,3,4,0,0,8,8,4,7,1,9,2,0,1,0,35,23,15,3,4,1,0,0,1,1,10,17,14,8,4,4,18,14,6,0,33,37,23.0,35.0,10.0,2.0,10.0,4.0,605,443,560.0,379.0,165,246,395,133,28.0,31.0,5.0,5.0,1.23,0.86,1.23,0.51,0.0,0.34,1.23,0.86,0.85,1.11,1,0,4,6,3,2,3,2,1,5,0.2506,0.0,0.6617,0.6656,0.1442,0.0458,0.1278,0.0636,0.0439,0.0827,12,7,0,0,0,6,0,2,0,0,1.2281,0.5141,0.0,0.0,0.0,0.2053,0.0,0.1384,0.0,0.0,12,15,15.82,19.38
3625826,2021-08-08,fra,2021/2022,Ligue 1,1,Florent Batta,9827,Bordeaux,8311,Clermont Foot,1,0,2,44,56,10,19,6,10,3,4,1,5,0,0,5,16,5,3,5,10,1,6,1,4,,,13,9,1,0,0,0,0,2,19,18,11,9,5,1,23,12,8,6,44,58,34.0,40.0,10.0,18.0,6.0,9.0,439,552,366.0,475.0,233,297,133,178,30.0,37.0,8.0,6.0,0.68,3.13,0.54,2.78,0.14,0.34,0.68,3.13,0.64,2.63,1,3,4,10,0,3,3,2,2,1,0.0639,0.7317,0.5404,2.203,0.0,0.1084,0.0476,0.0831,0.031,0.0122,7,14,0,1,2,4,1,0,0,0,0.5423,1.8752,0.0,0.9202,0.1132,0.3431,0.0272,0.0,0.0,0.0,10,19,20.17,14.32
3625826,2021-08-08,fra,2021/2022,Ligue 1,1,Florent Batta,8311,Clermont Foot,9827,Bordeaux,0,2,0,56,44,19,10,10,6,4,3,5,1,0,0,16,5,3,5,10,5,6,1,4,1,,,9,13,0,1,0,0,2,0,18,19,9,11,1,5,12,23,6,8,58,44,40.0,34.0,18.0,10.0,9.0,6.0,552,439,475.0,366.0,297,233,178,133,37.0,30.0,6.0,8.0,3.13,0.68,2.78,0.54,0.34,0.14,3.13,0.68,2.63,0.64,3,1,10,4,3,0,2,3,1,2,0.7317,0.0639,2.203,0.5404,0.1084,0.0,0.0831,0.0476,0.0122,0.031,14,7,1,0,4,2,0,1,0,0,1.8752,0.5423,0.9202,0.0,0.3431,0.1132,0.0,0.0272,0.0,0.0,19,10,14.32,20.17
3625828,2021-08-08,fra,2021/2022,Ligue 1,1,Eric Wattellier,8550,Metz,8639,Lille,1,3,3,38,62,12,17,5,6,3,7,4,4,0,1,6,9,6,8,4,5,1,2,0,1,17,24,9,10,1,2,1,0,0,2,16,21,19,10,4,4,13,14,4,2,46,54,30.0,38.0,16.0,16.0,6.0,8.0,335,538,243.0,438.0,122,211,121,227,20.0,20.0,3.0,7.0,0.87,1.28,0.87,0.91,0.0,0.37,0.87,1.28,1.84,0.89,1,1,3,5,2,3,5,3,1,5,0.0716,0.2406,0.5057,0.6265,0.1264,0.1513,0.1395,0.1399,0.0266,0.1217,10,13,2,0,0,3,0,1,0,0,0.6199,0.9079,0.2497,0.0,0.0,0.2734,0.0,0.0989,0.0,0.0,12,17,22.97,18.49
3625828,2021-08-08,fra,2021/2022,Ligue 1,1,Eric Wattellier,8639,Lille,8550,Metz,0,3,3,62,38,17,12,6,5,7,3,4,4,1,0,9,6,8,6,5,4,2,1,1,0,24,17,10,9,2,1,0,1,2,0,21,16,10,19,4,4,14,13,2,4,54,46,38.0,30.0,16.0,16.0,8.0,6.0,538,335,438.0,243.0,211,122,227,121,20.0,20.0,7.0,3.0,1.28,0.87,0.91,0.87,0.37,0.0,1.28,0.87,0.89,1.84,1,1,5,3,3,2,3,5,5,1,0.2406,0.0716,0.6265,0.5057,0.1513,0.1264,0.1399,0.1395,0.1217,0.0266,13,10,0,2,3,0,1,0,0,0,0.9079,0.6199,0.0,0.2497,0.2734,0.0,0.0989,0.0,0.0,0.0,17,12,18.49,22.97
