match_id,date,league,season,competition,round,referee,team_id,team,opp_id,opp,is_home,gf,ga,poss,poss_ag,shots,shots_ag,sot,sot_ag,shots_off,shots_off_ag,shots_blocked,shots_blocked_ag,woodwork,woodwork_ag,shots_box,shots_box_ag,shots_obox,shots_obox_ag,corners,corners_ag,bigchance,bigchance_ag,bigchance_missed,bigchance_missed_ag,touches_box,touches_box_ag,fouls,fouls_ag,yellow,yellow_ag,red,red_ag,offsides,offsides_ag,tackles,tackles_ag,interceptions,interceptions_ag,blocks,blocks_ag,clearances,clearances_ag,saves,saves_ag,duels_won,duels_won_ag,ground_duels_won,ground_duels_won_ag,aerials_won,aerials_won_ag,dribbles,dribbles_ag,passes,passes_ag,passes_acc,passes_acc_ag,passes_own_half,passes_own_half_ag,passes_opp_half,passes_opp_half_ag,long_balls_acc,long_balls_acc_ag,crosses_acc,crosses_acc_ag,xg,xg_ag,xg_op,xg_op_ag,xg_sp,xg_sp_ag,xg_np,xg_np_ag,xgot,xgot_ag,z_sixyard,z_sixyard_ag,z_box_c,z_box_c_ag,z_box_w,z_box_w_ag,z_out_c,z_out_c_ag,z_out_w,z_out_w_ag,z_sixyard_xg,z_sixyard_xg_ag,z_box_c_xg,z_box_c_xg_ag,z_box_w_xg,z_box_w_xg_ag,z_out_c_xg,z_out_c_xg_ag,z_out_w_xg,z_out_w_xg_ag,s_open,s_open_ag,s_fastbreak,s_fastbreak_ag,s_corner,s_corner_ag,s_freekick,s_freekick_ag,s_penalty,s_penalty_ag,s_open_xg,s_open_xg_ag,s_fastbreak_xg,s_fastbreak_xg_ag,s_corner_xg,s_corner_xg_ag,s_freekick_xg,s_freekick_xg_ag,s_penalty_xg,s_penalty_xg_ag,shotmap_n,shotmap_n_ag,shot_dist_avg,shot_dist_avg_ag
4732478,2025-03-29,bra,2025,Brasileirao,1,Felipe Fernandes de Lima,10277,Sao Paulo,6305,Sport Recife,1,0,0,64,36,16,8,3,1,11,4,2,3,1,0,11,3,5,5,6,2,2,0,2,0,24,5,17,21,0,2,0,0,1,2,16,13,6,5,3,2,10,29,1,3,55,52,46.0,33.0,9.0,19.0,10.0,5.0,529,305,461.0,237.0,268,134,193,103,19.0,25.0,7.0,0.0,2.36,0.3,0.45,0.17,1.12,0.13,1.57,0.3,0.26,0.22,1,0,10,1,0,2,3,3,2,2,0.7322,0.0,1.4966,0.0179,0.0,0.1852,0.0795,0.0716,0.0518,0.0919,6,2,1,1,4,1,4,4,1,0,0.3663,0.055,0.0878,0.1683,0.8585,0.0212,0.2592,0.1222,0.7884,0.0,16,8,15.16,24.56
4732478,2025-03-29,bra,2025,Brasileirao,1,Felipe Fernandes de Lima,6305,Sport Recife,10277,Sao Paulo,0,0,0,36,64,8,16,1,3,4,11,3,2,0,1,3,11,5,5,2,6,0,2,0,2,5,24,21,17,2,0,0,0,2,1,13,16,5,6,2,3,29,10,3,1,52,55,33.0,46.0,19.0,9.0,5.0,10.0,305,529,237.0,461.0,134,268,103,193,25.0,19.0,0.0,7.0,0.3,2.36,0.17,0.45,0.13,1.12,0.3,1.57,0.22,0.26,0,1,1,10,2,0,3,3,2,2,0.0,0.7322,0.0179,1.4966,0.1852,0.0,0.0716,0.0795,0.0919,0.0518,2,6,1,1,1,4,4,4,0,1,0.055,0.3663,0.1683,0.0878,0.0212,0.8585,0.1222,0.2592,0.0,0.7884,8,16,24.56,15.16
4732480,2025-03-29,bra,2025,Brasileirao,1,Alex Gomes Stefano,9781,Cruzeiro,163782,Mirassol,1,2,1,44,56,8,16,2,6,5,5,1,5,0,0,5,10,3,6,2,6,2,3,0,2,11,22,18,21,4,3,0,0,1,2,17,21,15,15,5,1,34,15,5,0,50,64,41.0,53.0,9.0,11.0,4.0,14.0,363,450,280.0,377.0,147,211,133,166,23.0,25.0,4.0,5.0,1.15,1.69,0.99,0.6,0.16,0.3,1.15,0.9,1.65,1.73,0,0,4,6,1,4,1,2,2,4,0.0,0.0,1.0305,1.3648,0.0414,0.1354,0.0174,0.1117,0.0545,0.0771,5,8,0,1,2,5,1,1,0,1,0.9854,0.5526,0.0,0.0498,0.1302,0.1994,0.0281,0.0988,0.0,0.7884,8,16,17.41,18.84
4732480,2025-03-29,bra,2025,Brasileirao,1,Alex Gomes Stefano,163782,Mirassol,9781,Cruzeiro,0,1,2,56,44,16,8,6,2,5,5,5,1,0,0,10,5,6,3,6,2,3,2,2,0,22,11,21,18,3,4,0,0,2,1,21,17,15,15,1,5,15,34,0,5,64,50,53.0,41.0,11.0,9.0,14.0,4.0,450,363,377.0,280.0,211,147,166,133,25.0,23.0,5.0,4.0,1.69,1.15,0.6,0.99,0.3,0.16,0.9,1.15,1.73,1.65,0,0,6,4,4,1,2,1,4,2,0.0,0.0,1.3648,1.0305,0.1354,0.0414,0.1117,0.0174,0.0771,0.0545,8,5,1,0,5,2,1,1,1,0,0.5526,0.9854,0.0498,0.0,0.1994,0.1302,0.0988,0.0281,0.7884,0.0,16,8,18.84,17.41
4732481,2025-03-29,bra,2025,Brasileirao,1,Raphael Claus,9769,Gremio,10272,Atletico MG,1,2,1,32,68,12,22,5,7,4,5,3,10,0,0,5,15,7,7,1,11,1,7,0,6,15,33,19,5,4,0,0,0,1,4,16,15,8,10,10,3,40,25,6,3,46,55,31.0,39.0,15.0,16.0,10.0,8.0,268,563,198.0,475.0,96,214,102,261,19.0,32.0,4.0,3.0,0.85,2.84,0.85,2.14,0.0,0.7,0.85,2.84,1.15,3.13,1,5,1,5,3,5,4,7,3,0,0.266,1.9202,0.1151,0.7285,0.189,0.1636,0.2372,0.1759,0.0809,0.0,11,15,1,0,0,6,0,1,0,0,0.8154,2.2889,0.0729,0.0,0.0,0.6668,0.0,0.0325,0.0,0.0,12,22,20.68,16.72
4732481,2025-03-29,bra,2025,Brasileirao,1,Raphael Claus,10272,Atletico MG,9769,Gremio,0,1,2,68,32,22,12,7,5,5,4,10,3,0,0,15,5,7,7,11,1,7,1,6,0,33,15,5,19,0,4,0,0,4,1,15,16,10,8,3,10,25,40,3,6,55,46,39.0,31.0,16.0,15.0,8.0,10.0,563,268,475.0,198.0,214,96,261,102,32.0,19.0,3.0,4.0,2.84,0.85,2.14,0.85,0.7,0.0,2.84,0.85,3.13,1.15,5,1,5,1,5,3,7,4,0,3,1.9202,0.266,0.7285,0.1151,0.1636,0.189,0.1759,0.2372,0.0,0.0809,15,11,0,1,6,0,1,0,0,0,2.2889,0.8154,0.0,0.0729,0.6668,0.0,0.0325,0.0,0.0,0.0,22,12,16.72,20.68
4732483,2025-03-29,bra,2025,Brasileirao,1,Rodrigo José Pereira de Lima,8287,Fortaleza,9863,Fluminense,1,2,0,30,70,5,15,3,1,2,9,0,5,0,0,3,7,2,8,4,5,1,1,0,1,10,17,16,5,1,0,0,0,4,1,26,11,10,12,5,0,25,19,1,1,43,42,35.0,32.0,8.0,10.0,4.0,6.0,282,675,216.0,614.0,139,308,77,306,13.0,19.0,2.0,5.0,0.9,0.95,0.79,0.85,0.12,0.1,0.9,0.95,1.36,0.04,0,0,3,6,0,1,1,7,1,1,0.0,0.0,0.8834,0.6676,0.0,0.0643,0.0083,0.1857,0.0062,0.0364,3,12,0,0,2,1,0,2,0,0,0.8581,0.8512,0.0,0.0,0.0398,0.0394,0.0,0.0635,0.0,0.0,5,15,21.21,19.79
4732483,2025-03-29,bra,2025,Brasileirao,1,Rodrigo José Pereira de Lima,9863,Fluminense,8287,Fortaleza,0,0,2,70,30,15,5,1,3,9,2,5,0,0,0,7,3,8,2,5,4,1,1,1,0,17,10,5,16,0,1,0,0,1,4,11,26,12,10,0,5,19,25,1,1,42,43,32.0,35.0,10.0,8.0,6.0,4.0,675,282,614.0,216.0,308,139,306,77,19.0,13.0,5.0,2.0,0.95,0.9,0.85,0.79,0.1,0.12,0.95,0.9,0.04,1.36,0,0,6,3,1,0,7,1,1,1,0.0,0.0,0.6676,0.8834,0.0643,0.0,0.1857,0.0083,0.0364,0.0062,12,3,0,0,1,2,2,0,0,0,0.8512,0.8581,0.0,0.0,0.0394,0.0398,0.0635,0.0,0.0,0.0,15,5,19.79,21.21
4732484,2025-03-29,bra,2025,Brasileirao,1,Paulo Cesar Zanovelli da Silva,10274,Juventude,7733,Vitoria,1,2,0,36,64,9,14,4,5,3,3,2,6,0,0,8,7,1,7,3,5,1,1,0,1,12,20,16,16,3,4,0,0,0,0,18,19,13,4,6,2,35,16,5,2,52,62,41.0,46.0,11.0,16.0,7.0,12.0,298,533,234.0,454.0,153,259,81,195,21.0,28.0,2.0,3.0,0.76,0.59,0.54,0.47,0.22,0.11,0.76,0.59,1.23,0.33,1,0,4,2,3,5,1,4,0,3,0.0937,0.0,0.3455,0.1383,0.2872,0.2318,0.0339,0.1041,0.0,0.1115,5,9,1,1,2,2,1,2,0,0,0.3906,0.4075,0.1519,0.066,0.1839,0.0436,0.0339,0.0687,0.0,0.0,9,14,14.83,20.57
4732484,2025-03-29,bra,2025,Brasileirao,1,Paulo Cesar Zanovelli da Silva,7733,Vitoria,10274,Juventude,0,0,2,64,36,14,9,5,4,3,3,6,2,0,0,7,8,7,1,5,3,1,1,1,0,20,12,16,16,4,3,0,0,0,0,19,18,4,13,2,6,16,35,2,5,62,52,46.0,41.0,16.0,11.0,12.0,7.0,533,298,454.0,234.0,259,153,195,81,28.0,21.0,3.0,2.0,0.59,0.76,0.47,0.54,0.11,0.22,0.59,0.76,0.33,1.23,0,1,2,4,5,3,4,1,3,0,0.0,0.0937,0.1383,0.3455,0.2318,0.2872,0.1041,0.0339,0.1115,0.0,9,5,1,1,2,2,2,1,0,0,0.4075,0.3906,0.066,0.1519,0.0436,0.1839,0.0687,0.0339,0.0,0.0,14,9,20.57,14.83
