match_id,date,league,season,competition,round,referee,team_id,team,opp_id,opp,is_home,gf,ga,poss,poss_ag,shots,shots_ag,sot,sot_ag,shots_off,shots_off_ag,shots_blocked,shots_blocked_ag,woodwork,woodwork_ag,shots_box,shots_box_ag,shots_obox,shots_obox_ag,corners,corners_ag,bigchance,bigchance_ag,bigchance_missed,bigchance_missed_ag,touches_box,touches_box_ag,fouls,fouls_ag,yellow,yellow_ag,red,red_ag,offsides,offsides_ag,tackles,tackles_ag,interceptions,interceptions_ag,blocks,blocks_ag,clearances,clearances_ag,saves,saves_ag,duels_won,duels_won_ag,ground_duels_won,ground_duels_won_ag,aerials_won,aerials_won_ag,dribbles,dribbles_ag,passes,passes_ag,passes_acc,passes_acc_ag,passes_own_half,passes_own_half_ag,passes_opp_half,passes_opp_half_ag,long_balls_acc,long_balls_acc_ag,crosses_acc,crosses_acc_ag,xg,xg_ag,xg_op,xg_op_ag,xg_sp,xg_sp_ag,xg_np,xg_np_ag,xgot,xgot_ag,z_sixyard,z_sixyard_ag,z_box_c,z_box_c_ag,z_box_w,z_box_w_ag,z_out_c,z_out_c_ag,z_out_w,z_out_w_ag,z_sixyard_xg,z_sixyard_xg_ag,z_box_c_xg,z_box_c_xg_ag,z_box_w_xg,z_box_w_xg_ag,z_out_c_xg,z_out_c_xg_ag,z_out_w_xg,z_out_w_xg_ag,s_open,s_open_ag,s_fastbreak,s_fastbreak_ag,s_corner,s_corner_ag,s_freekick,s_freekick_ag,s_penalty,s_penalty_ag,s_open_xg,s_open_xg_ag,s_fastbreak_xg,s_fastbreak_xg_ag,s_corner_xg,s_corner_xg_ag,s_freekick_xg,s_freekick_xg_ag,s_penalty_xg,s_penalty_xg_ag,shotmap_n,shotmap_n_ag,shot_dist_avg,shot_dist_avg_ag
5802905,2026-08-21,fra,2026/2027,Ligue 1,1,Ruddy Buquet,8592,Marseille,9848,Strasbourg,1,4,0,67,33,14,5,8,2,4,3,2,0,0,0,9,3,5,2,3,4,3,0,1,0,34,8,6,12,1,2,0,1,0,0,17,19,8,8,0,2,11,24,2,4,43,40,35.0,34.0,8.0,6.0,7.0,9.0,687,337,626.0,286.0,299,196,327,90,16.0,18.0,2.0,1.0,1.86,0.18,1.03,0.13,0.04,0.05,1.07,0.18,2.02,0.08,0,0,6,1,3,2,5,1,0,1,0.0,0.0,1.6037,0.0499,0.0715,0.0874,0.1856,0.0148,0.0,0.0296,10,4,1,0,1,1,1,0,1,0,0.875,0.1317,0.1546,0.0,0.0256,0.0499,0.0171,0.0,0.7884,0.0,14,5,17.96,17.77
5802905,2026-08-21,fra,2026/2027,Ligue 1,1,Ruddy Buquet,9848,Strasbourg,8592,Marseille,0,0,4,33,67,5,14,2,8,3,4,0,2,0,0,3,9,2,5,4,3,0,3,0,1,8,34,12,6,2,1,1,0,0,0,19,17,8,8,2,0,24,11,4,2,40,43,34.0,35.0,6.0,8.0,9.0,7.0,337,687,286.0,626.0,196,299,90,327,18.0,16.0,1.0,2.0,0.18,1.86,0.13,1.03,0.05,0.04,0.18,1.07,0.08,2.02,0,0,1,6,2,3,1,5,1,0,0.0,0.0,0.0499,1.6037,0.0874,0.0715,0.0148,0.1856,0.0296,0.0,4,10,0,1,1,1,0,1,0,1,0.1317,0.875,0.0,0.1546,0.0499,0.0256,0.0,0.0171,0.0,0.7884,5,14,17.77,17.96
5802903,2026-08-22,fra,2026/2027,Ligue 1,1,Aurélien Petit,8682,Le Mans,8521,Brest,1,2,2,50,50,8,26,5,7,2,15,1,4,0,0,5,23,3,3,1,10,1,5,0,3,14,40,14,12,1,1,0,0,3,2,16,17,10,11,5,1,32,27,4,3,50,70,31.0,46.0,19.0,24.0,4.0,15.0,416,399,319.0,312.0,222,176,97,136,36.0,37.0,2.0,11.0,0.67,2.72,0.62,1.16,0.05,1.56,0.67,2.72,1.09,1.79,0,1,3,19,2,3,2,2,1,1,0.0,0.5796,0.5012,2.0174,0.0818,0.1572,0.0694,0.1052,0.0187,0.0051,6,11,1,4,0,7,1,4,0,0,0.4933,0.7255,0.1316,0.4515,0.0,1.1892,0.0461,0.4982,0.0,0.0,8,26,17.87,14.49
5802903,2026-08-22,fra,2026/2027,Ligue 1,1,Aurélien Petit,8521,Brest,8682,Le Mans,0,2,2,50,50,26,8,7,5,15,2,4,1,0,0,23,5,3,3,10,1,5,1,3,0,40,14,12,14,1,1,0,0,2,3,17,16,11,10,1,5,27,32,3,4,70,50,46.0,31.0,24.0,19.0,15.0,4.0,399,416,312.0,319.0,176,222,136,97,37.0,36.0,11.0,2.0,2.72,0.67,1.16,0.62,1.56,0.05,2.72,0.67,1.79,1.09,1,0,19,3,3,2,2,2,1,1,0.5796,0.0,2.0174,0.5012,0.1572,0.0818,0.1052,0.0694,0.0051,0.0187,11,6,4,1,7,0,4,1,0,0,0.7255,0.4933,0.4515,0.1316,1.1892,0.0,0.4982,0.0461,0.0,0.0,26,8,14.49,17.87
5802904,2026-08-22,fra,2026/2027,Ligue 1,1,Mathieu Vernice,8588,Lens,8583,Auxerre,1,5,2,53,47,12,10,9,4,2,3,1,3,0,0,10,5,2,5,4,7,10,2,5,0,31,29,6,21,1,1,0,1,0,3,21,13,14,11,3,1,21,21,2,4,55,41,46.0,31.0,9.0,10.0,6.0,12.0,470,416,415.0,338.0,259,184,156,154,21.0,17.0,3.0,3.0,4.41,1.84,2.84,1.02,0.0,0.03,2.84,1.05,3.91,1.8,2,1,6,2,2,2,1,2,1,3,1.0134,0.7642,3.221,0.8338,0.0922,0.0724,0.0558,0.1133,0.0313,0.0588,9,5,1,3,0,1,0,0,2,1,2.0513,0.1318,0.7856,0.8913,0.0,0.0309,0.0,0.0,1.5768,0.7884,12,10,11.92,19.05
5802904,2026-08-22,fra,2026/2027,Ligue 1,1,Mathieu Vernice,8583,Auxerre,8588,Lens,0,2,5,47,53,10,12,4,9,3,2,3,1,0,0,5,10,5,2,7,4,2,10,0,5,29,31,21,6,1,1,1,0,3,0,13,21,11,14,1,3,21,21,4,2,41,55,31.0,46.0,10.0,9.0,12.0,6.0,416,470,338.0,415.0,184,259,154,156,17.0,21.0,3.0,3.0,1.84,4.41,1.02,2.84,0.03,0.0,1.05,2.84,1.8,3.91,1,2,2,6,2,2,2,1,3,1,0.7642,1.0134,0.8338,3.221,0.0724,0.0922,0.1133,0.0558,0.0588,0.0313,5,9,3,1,1,0,0,0,1,2,0.1318,2.0513,0.8913,0.7856,0.0309,0.0,0.0,0.0,0.7884,1.5768,10,12,19.05,11.92
5802906,2026-08-22,fra,2026/2027,Ligue 1,1,Romain Lissorgue,9831,Nice,8689,Lorient,1,0,0,60,40,14,10,1,2,7,5,6,3,0,0,8,8,6,2,9,3,1,3,1,3,21,22,15,8,1,0,0,0,2,1,12,11,6,14,2,6,16,26,2,1,35,44,23.0,30.0,12.0,14.0,4.0,4.0,630,418,552.0,352.0,231,207,321,145,29.0,12.0,4.0,4.0,1.05,1.28,0.87,1.1,0.18,0.18,1.05,1.28,0.23,0.18,1,2,4,5,3,1,4,2,2,0,0.2136,0.3154,0.5788,0.7727,0.1172,0.0452,0.1039,0.1542,0.0382,0.0,9,9,0,0,4,1,1,0,0,0,0.8739,1.1059,0.0,0.0,0.1376,0.1816,0.0403,0.0,0.0,0.0,14,10,18.17,12.77
5802906,2026-08-22,fra,2026/2027,Ligue 1,1,Romain Lissorgue,8689,Lorient,9831,Nice,0,0,0,40,60,10,14,2,1,5,7,3,6,0,0,8,8,2,6,3,9,3,1,3,1,22,21,8,15,0,1,0,0,1,2,11,12,14,6,6,2,26,16,1,2,44,35,30.0,23.0,14.0,12.0,4.0,4.0,418,630,352.0,552.0,207,231,145,321,12.0,29.0,4.0,4.0,1.28,1.05,1.1,0.87,0.18,0.18,1.28,1.05,0.18,0.23,2,1,5,4,1,3,2,4,0,2,0.3154,0.2136,0.7727,0.5788,0.0452,0.1172,0.1542,0.1039,0.0,0.0382,9,9,0,0,1,4,0,1,0,0,1.1059,0.8739,0.0,0.0,0.1816,0.1376,0.0,0.0403,0.0,0.0,10,14,12.77,18.17
5802908,2026-08-22,fra,2026/2027,Ligue 1,1,Guillaume Paradis,9941,Toulouse,9748,Lyon,1,0,2,48,52,17,11,2,3,12,5,3,3,1,0,12,7,5,4,6,5,4,2,4,1,31,24,15,15,1,2,0,0,2,0,16,15,6,14,3,3,17,19,1,2,48,42,37.0,38.0,11.0,4.0,8.0,8.0,435,479,371.0,416.0,224,250,147,166,29.0,28.0,4.0,1.0,2.77,0.7,1.44,0.64,1.33,0.06,2.77,0.7,0.44,1.53,3,0,6,4,3,3,4,4,1,0,1.1757,0.0,1.0856,0.3827,0.1433,0.1544,0.3814,0.163,0.018,0.0,6,9,4,1,6,1,1,0,0,0,0.4149,0.6123,1.0202,0.0305,1.1559,0.0573,0.2131,0.0,0.0,0.0,17,11,14.8,18.16
5802908,2026-08-22,fra,2026/2027,Ligue 1,1,Guillaume Paradis,9748,Lyon,9941,Toulouse,0,2,0,52,48,11,17,3,2,5,12,3,3,0,1,7,12,4,5,5,6,2,4,1,4,24,31,15,15,2,1,0,0,0,2,15,16,14,6,3,3,19,17,2,1,42,48,38.0,37.0,4.0,11.0,8.0,8.0,479,435,416.0,371.0,250,224,166,147,28.0,29.0,1.0,4.0,0.7,2.77,0.64,1.44,0.06,1.33,0.7,2.77,1.53,0.44,0,3,4,6,3,3,4,4,0,1,0.0,1.1757,0.3827,1.0856,0.1544,0.1433,0.163,0.3814,0.0,0.018,9,6,1,4,1,6,0,1,0,0,0.6123,0.4149,0.0305,1.0202,0.0573,1.1559,0.0,0.2131,0.0,0.0,11,17,18.16,14.8
