match_id,date,league,season,competition,round,referee,team_id,team,opp_id,opp,is_home,gf,ga,poss,poss_ag,shots,shots_ag,sot,sot_ag,shots_off,shots_off_ag,shots_blocked,shots_blocked_ag,woodwork,woodwork_ag,shots_box,shots_box_ag,shots_obox,shots_obox_ag,corners,corners_ag,bigchance,bigchance_ag,bigchance_missed,bigchance_missed_ag,touches_box,touches_box_ag,fouls,fouls_ag,yellow,yellow_ag,red,red_ag,offsides,offsides_ag,tackles,tackles_ag,interceptions,interceptions_ag,blocks,blocks_ag,clearances,clearances_ag,saves,saves_ag,duels_won,duels_won_ag,ground_duels_won,ground_duels_won_ag,aerials_won,aerials_won_ag,dribbles,dribbles_ag,passes,passes_ag,passes_acc,passes_acc_ag,passes_own_half,passes_own_half_ag,passes_opp_half,passes_opp_half_ag,long_balls_acc,long_balls_acc_ag,crosses_acc,crosses_acc_ag,xg,xg_ag,xg_op,xg_op_ag,xg_sp,xg_sp_ag,xg_np,xg_np_ag,xgot,xgot_ag,z_sixyard,z_sixyard_ag,z_box_c,z_box_c_ag,z_box_w,z_box_w_ag,z_out_c,z_out_c_ag,z_out_w,z_out_w_ag,z_sixyard_xg,z_sixyard_xg_ag,z_box_c_xg,z_box_c_xg_ag,z_box_w_xg,z_box_w_xg_ag,z_out_c_xg,z_out_c_xg_ag,z_out_w_xg,z_out_w_xg_ag,s_open,s_open_ag,s_fastbreak,s_fastbreak_ag,s_corner,s_corner_ag,s_freekick,s_freekick_ag,s_penalty,s_penalty_ag,s_open_xg,s_open_xg_ag,s_fastbreak_xg,s_fastbreak_xg_ag,s_corner_xg,s_corner_xg_ag,s_freekick_xg,s_freekick_xg_ag,s_penalty_xg,s_penalty_xg_ag,shotmap_n,shotmap_n_ag,shot_dist_avg,shot_dist_avg_ag
3919071,2022-08-13,ita,2022/2023,Serie A,1,Livio Marinelli,8564,Milan,8600,Udinese,1,4,2,59,41,14,9,5,4,7,4,2,1,0,0,9,5,5,4,5,1,3,0,0,0,,,16,13,1,4,0,0,0,1,23,13,8,11,1,2,5,19,2,1,51,43,46.0,31.0,5.0,12.0,10.0,3.0,502,343,429.0,278.0,239,168,190,110,35.0,30.0,4.0,4.0,2.33,0.49,1.4,0.37,0.14,0.12,1.54,0.49,3.01,0.39,1,2,5,1,3,2,3,2,2,2,0.7649,0.1372,1.2423,0.035,0.1701,0.1715,0.0898,0.0883,0.0587,0.0555,8,6,1,1,2,1,2,1,1,0,1.3155,0.23,0.0853,0.1408,0.0542,0.086,0.0825,0.0306,0.7884,0.0,14,9,17.63,18.55
3919071,2022-08-13,ita,2022/2023,Serie A,1,Livio Marinelli,8600,Udinese,8564,Milan,0,2,4,41,59,9,14,4,5,4,7,1,2,0,0,5,9,4,5,1,5,0,3,0,0,,,13,16,4,1,0,0,1,0,13,23,11,8,2,1,19,5,1,2,43,51,31.0,46.0,12.0,5.0,3.0,10.0,343,502,278.0,429.0,168,239,110,190,30.0,35.0,4.0,4.0,0.49,2.33,0.37,1.4,0.12,0.14,0.49,1.54,0.39,3.01,2,1,1,5,2,3,2,3,2,2,0.1372,0.7649,0.035,1.2423,0.1715,0.1701,0.0883,0.0898,0.0555,0.0587,6,8,1,1,1,2,1,2,0,1,0.23,1.3155,0.1408,0.0853,0.086,0.0542,0.0306,0.0825,0.0,0.7884,9,14,18.55,17.63
3919072,2022-08-13,ita,2022/2023,Serie A,1,Maurizio Mariani,6504,Monza,9804,Torino,1,1,2,54,46,15,13,4,6,7,3,4,4,0,0,5,12,10,1,2,7,1,6,0,4,,,6,17,1,2,0,0,1,5,13,14,11,5,4,3,14,11,4,3,46,34,38.0,27.0,8.0,7.0,8.0,7.0,447,377,365.0,307.0,248,156,117,151,29.0,17.0,5.0,4.0,1.37,2.16,1.25,2.13,0.12,0.03,1.37,2.16,0.95,3.97,1,2,3,7,1,3,7,1,3,0,0.6796,0.9431,0.2884,0.9701,0.0489,0.199,0.2653,0.0457,0.0834,0.0,11,11,1,1,0,1,3,0,0,0,1.1734,2.0198,0.0759,0.1109,0.0,0.0272,0.1163,0.0,0.0,0.0,15,13,22.89,13.71
3919072,2022-08-13,ita,2022/2023,Serie A,1,Maurizio Mariani,9804,Torino,6504,Monza,0,2,1,46,54,13,15,6,4,3,7,4,4,0,0,12,5,1,10,7,2,6,1,4,0,,,17,6,2,1,0,0,5,1,14,13,5,11,3,4,11,14,3,4,34,46,27.0,38.0,7.0,8.0,7.0,8.0,377,447,307.0,365.0,156,248,151,117,17.0,29.0,4.0,5.0,2.16,1.37,2.13,1.25,0.03,0.12,2.16,1.37,3.97,0.95,2,1,7,3,3,1,1,7,0,3,0.9431,0.6796,0.9701,0.2884,0.199,0.0489,0.0457,0.2653,0.0,0.0834,11,11,1,1,1,0,0,3,0,0,2.0198,1.1734,0.1109,0.0759,0.0272,0.0,0.0,0.1163,0.0,0.0,13,15,13.71,22.89
3919073,2022-08-13,ita,2022/2023,Serie A,1,Federico Dionisi,9882,Sampdoria,8524,Atalanta,1,0,2,55,45,11,9,1,3,5,3,5,3,2,1,6,6,5,3,3,2,0,3,0,1,,,13,21,4,6,0,0,1,2,18,19,11,11,3,5,6,19,1,1,61,46,45.0,38.0,16.0,8.0,6.0,6.0,455,371,363.0,285.0,188,176,175,109,28.0,28.0,4.0,2.0,0.97,2.17,0.79,2.11,0.18,0.06,0.97,2.17,0.34,1.68,0,2,4,2,2,2,3,2,2,1,0.0,1.6258,0.521,0.4133,0.2245,0.0559,0.1895,0.048,0.0353,0.0279,8,6,0,1,0,0,3,2,0,0,0.7871,1.7824,0.0,0.3292,0.0,0.0,0.1832,0.0592,0.0,0.0,11,9,20.13,15.19
3919073,2022-08-13,ita,2022/2023,Serie A,1,Federico Dionisi,8524,Atalanta,9882,Sampdoria,0,2,0,45,55,9,11,3,1,3,5,3,5,1,2,6,6,3,5,2,3,3,0,1,0,,,21,13,6,4,0,0,2,1,19,18,11,11,5,3,19,6,1,1,46,61,38.0,45.0,8.0,16.0,6.0,6.0,371,455,285.0,363.0,176,188,109,175,28.0,28.0,2.0,4.0,2.17,0.97,2.11,0.79,0.06,0.18,2.17,0.97,1.68,0.34,2,0,2,4,2,2,2,3,1,2,1.6258,0.0,0.4133,0.521,0.0559,0.2245,0.048,0.1895,0.0279,0.0353,6,8,1,0,0,0,2,3,0,0,1.7824,0.7871,0.3292,0.0,0.0,0.0,0.0592,0.1832,0.0,0.0,9,11,15.19,20.13
3919077,2022-08-13,ita,2022/2023,Serie A,1,Alessandro Prontera,9888,Lecce,8636,Inter,1,1,2,30,70,10,19,4,9,4,5,2,5,0,1,5,11,5,8,6,8,1,3,0,1,14,40,21,19,4,2,0,0,2,3,9,11,13,8,5,2,41,8,7,3,46,52,32.0,38.0,14.0,14.0,5.0,8.0,254,603,184.0,523.0,102,262,82,261,20.0,24.0,3.0,8.0,0.69,2.09,0.37,1.33,0.32,0.77,0.69,2.09,,,0,4,2,5,3,2,2,8,3,0,0.0,1.2936,0.2656,0.4521,0.1774,0.0704,0.1471,0.2751,0.0985,0.0,6,13,1,0,1,5,2,1,0,0,0.2951,1.3259,0.0728,0.0,0.1573,0.732,0.1633,0.0333,0.0,0.0,10,19,19.21,16.5
3919077,2022-08-13,ita,2022/2023,Serie A,1,Alessandro Prontera,8636,Inter,9888,Lecce,0,2,1,70,30,19,10,9,4,5,4,5,2,1,0,11,5,8,5,8,6,3,1,1,0,40,14,19,21,2,4,0,0,3,2,11,9,8,13,2,5,8,41,3,7,52,46,38.0,32.0,14.0,14.0,8.0,5.0,603,254,523.0,184.0,262,102,261,82,24.0,20.0,8.0,3.0,2.09,0.69,1.33,0.37,0.77,0.32,2.09,0.69,,,4,0,5,2,2,3,8,2,0,3,1.2936,0.0,0.4521,0.2656,0.0704,0.1774,0.2751,0.1471,0.0,0.0985,13,6,0,1,5,1,1,2,0,0,1.3259,0.2951,0.0,0.0728,0.732,0.1573,0.0333,0.1633,0.0,0.0,19,10,16.5,19.21
3919074,2022-08-14,ita,2022/2023,Serie A,1,Luca Massimi,8543,Lazio,9857,Bologna,1,2,1,41,59,9,11,6,3,2,6,1,2,0,0,4,5,5,6,3,2,1,2,0,1,,,11,18,2,4,1,1,3,2,15,13,4,8,2,1,9,18,2,5,47,42,39.0,33.0,8.0,9.0,7.0,10.0,307,450,247.0,387.0,129,231,118,156,28.0,27.0,3.0,3.0,0.66,1.59,0.61,0.55,0.05,0.25,0.66,0.8,1.65,1.4,0,0,2,4,2,1,2,2,3,4,0.0,0.0,0.3618,1.3088,0.0976,0.0318,0.0962,0.1025,0.1066,0.1481,8,6,0,0,1,3,0,1,0,1,0.6102,0.5539,0.0,0.0,0.0519,0.1959,0.0,0.0531,0.0,0.7884,9,11,19.88,19.17
3919074,2022-08-14,ita,2022/2023,Serie A,1,Luca Massimi,9857,Bologna,8543,Lazio,0,1,2,59,41,11,9,3,6,6,2,2,1,0,0,5,4,6,5,2,3,2,1,1,0,,,18,11,4,2,1,1,2,3,13,15,8,4,1,2,18,9,5,2,42,47,33.0,39.0,9.0,8.0,10.0,7.0,450,307,387.0,247.0,231,129,156,118,27.0,28.0,3.0,3.0,1.59,0.66,0.55,0.61,0.25,0.05,0.8,0.66,1.4,1.65,0,0,4,2,1,2,2,2,4,3,0.0,0.0,1.3088,0.3618,0.0318,0.0976,0.1025,0.0962,0.1481,0.1066,6,8,0,0,3,1,1,0,1,0,0.5539,0.6102,0.0,0.0,0.1959,0.0519,0.0531,0.0,0.7884,0.0,11,9,19.17,19.88
